Date,ID,Caption,Likes,Comments,HashTags,isVideo,ShortCode
2018-10-26 09:15:14,1898554161272850389,"#LIVE: Congress President @RahulGandhi is being held at the Lodhi Colony police station for protesting against @narendramodi Govt's interference with the #CBI.

#ModiSeCBIBachao
#CBIvsCBI",21595,356,"['live', 'cbi', 'modisecbibachao', 'cbivscbi']",False,BpZBPNhggfV
2018-10-22 16:39:44,1895878218876027928,"Step up, stand up and don't fear. This is a free country and the Congress is with you. #DaroMat
-Senior Congress leader @mvrajeevgowda  #adhm2018 #dauddilli",4224,35,"['daromat', 'adhm2018', 'dauddilli']",True,BpPgzH9gYQY
2018-10-22 16:37:44,1895875601596736766,"In the battle of right vs wrong, one cannot afford to be neutral. To the press, to the youth and to each and every Indian, we say #DaroMat and we're here to support you in our joint fight for freedom. Freedom to eat anything, wear anything and to speak our mind. #adhm2018 #dauddilli",4294,37,"['daromat', 'adhm2018', 'dauddilli']",True,BpPgNCbgOT-
2018-10-22 16:32:30,1895874603369283693,"Listen to what the Member of Parliament from Assam, @gauravgogoiasm has to say about #DaroMat and inspire the #youth #adhm2018 #dauddilli",4743,31,"['daromat', 'youth', 'adhm2018', 'dauddilli']",True,BpPf-gwgsBt
2018-10-20 14:36:22,1894367137712189608,"“#Congress party is the only party that can fulfil the aspirations of #Telangana.”
-Congress President, @RahulGandhi",12326,116,"['congress', 'telangana']",False,BpKJN_9gjCo
2018-10-19 15:04:48,1893656672409431063,"#Dussehra festivities continue at Nav Shri Dharmik Ramlila Committee. A very Happy Dussehra from UPA Chairperson Smt. Sonia Gandhi, Former PM Dr. Manmohan Singh, Congress President @RahulGandhi & the entire Congress party.",14586,90,['dussehra'],False,BpHnrXlgywX
2018-10-19 13:32:18,1893610121037118467,UPA Chairperson Smt. Sonia Gandhi & Former PM Dr. Manmohan Singh join the #Dussehra festivities at the Dharmik Ramlila Committee.,13817,61,['dussehra'],False,BpHdF9PgHwD
2018-10-19 08:16:48,1893450930993757312,"Four years of Modi govt. Four years of missing the mark. 
#FlashbackFriday 
#Dussehra",13741,963,"['flashbackfriday', 'dussehra']",True,BpG45b9g_yA
2018-10-18 07:53:47,1892714963341142842,"""Everything I have promised has been implemented. I don't want to tell you about my 'Mann ki Baat'. I want to listen to people's needs and fulfil that. This is the difference between them & us.""
Congress President, @RahulGandhi",11322,75,[],False,BpERjsrA-s6
2018-10-16 06:52:15,1891234434611597135,Congress President @RahulGandhi pays his respects at Gurdwara Data Bandi Chhor Sahib in Gwalior.,12366,133,[],False,Bo_A7K2As9P
2018-10-15 16:30:09,1890800530624816247,Roaring crowds greet Congress President @RahulGandhi with incredible love in Madhya Pradesh.,10110,63,[],False,Bo9eRCRAyR3
2018-10-15 08:56:05,1890571991061240825,कांग्रेस अध्यक्ष @RahulGandhi ने मध्य प्रदेश के दतिया में पीतांबरापीठ के दर्शन किये और पूरे विधि-विधान से मां पीतांबरा की पूजा-अर्चना की।,10959,123,[],False,Bo8qTWNghv5
2018-10-14 08:00:48,1889819390694915404,"“Everyone in India is a stakeholder - all of us, rich or poor, weak or strong, north or south, east or west - every voice is a part of the harmony that makes India. India is a partnership between all its people.”
Congress President, @RahulGandhi",9860,39,[],False,Bo5_LkgA_1M
2018-10-13 12:23:18,1889226732612051937,"“Public Sectors are the temples of modern India. We cannot allow them to be destroyed. If somebody thinks they can build their future on your graves, that cannot be allowed. We are going to fight for your future.”
.
.
Thousands of citizens join Mr. @RahulGandhi in Bengaluru in his quest to reveal the truth about the #RafaleScam #RahulGandhiWithHAL",10610,71,"['rafalescam', 'rahulgandhiwithhal']",False,Bo34bQpg2Ph
2018-10-12 07:04:10,1888341332217376926,"Congress President, @RahulGandhi meets with party workers & supporters at AICC HQ, New Delhi",11972,86,[],False,Bo0vG_RgTCe
2018-10-11 07:52:34,1887640918471866952,"पहले फ्रांस के पूर्व राष्ट्रपति और अब राफेल के सीनियर एक्ज़ीक्यूटिव और साफ कह दिया है कि राफेल सौदे के बदले दसॉल्ट को रिलायंस से डील करने को कहा गया : कांग्रेस अध्यक्ष @RahulGandhi 
#RafaleScamGrandExpose",10917,99,['rafalescamgrandexpose'],False,BoyP2oJAfpI
2018-10-10 11:57:52,1887039601986747957,"“When Congress forms the govt in Rajasthan, we will listen to your needs. Our govt will work for every single section of the society unlike BJP govt which works only for a handful of industrialists”
.
.
Congress President @RahulGandhi addressed a gathering of enthusiastic supporters at the public meeting in Bikaner, Rajasthan",11901,112,[],False,BowHIUhg741
2018-10-10 06:46:52,1886883070611737824,Congress President @RahulGandhi addresses the National Executive Meet of the @IndianYouthCongress in Jaipur.,12211,54,[],False,BovjifUgszg
2018-10-09 13:20:28,1886356400641235721,"Congress President @RahulGandhi shares a light moment with Sonu, a young supporter, near Bayana.",12709,126,[],False,BotrybsAVsJ
2018-10-09 08:01:02,1886195624244817830,Congress President @RahulGandhi is greeted by enthusiastic crowds during his Yatra from Dholpur to Dausa in Rajasthan.,14178,136,[],False,BotHO1AAi-m
2018-10-08 12:23:43,1885603067731221904,"“Green Revolution & White Revolution empowered farmers and strengthened the nation. Empowering each individual has enabled us to compete against global superpowers like the USA”
Congress President, @RahulGandhi",15284,59,[],False,BorAf_vgZ2Q
2018-10-06 15:45:23,1884255012612441374,Today's #CongressSankalpRally ended with overwhelming love & affection from the people of Jabalpur.,10537,68,['congresssankalprally'],False,BomN_NlA4Ue
2018-10-06 12:43:13,1884163330168399370,"Huge crowds greet Congress President @RahulGandhi during his roadshow in Jabalpur. 
#CongressSankalpYatra",12024,80,['congresssankalpyatra'],False,Bol5JDpgSYK
2018-10-06 11:55:29,1884139306084264667,कांग्रेस अध्यक्ष @RahulGandhi और मध्य प्रदेश कांग्रेस के अन्य नेतागण जबलपुर के पास ग्वारी घाट पर मां नर्मदा का पूजन करते हुए। #CongressSankalpYatra,13516,150,['congresssankalpyatra'],False,BolzrdegOrb
2018-10-06 10:07:49,1884085112489088445,"जल, जंगल, जमीन का आपका हक हम आपको देकर रहेंगे। इससे पीछे नहीं हटने वाले : कांग्रेस अध्यक्ष @RahulGandhi
 #CongressSankalpYatra in Morena",11537,63,['congresssankalpyatra'],False,BolnW1wg5W9
2018-10-05 06:53:01,1883262293282879023,Congress President @RahulGandhi & UPA Chairperson Sonia Gandhi shared a light moment with the legendary Football player @Pele at the Hindustan Times Leadership Summit.,16708,98,[],False,BoisRPqA3Yv
2018-10-05 05:18:26,1883214683981419406,India is a partnership between all its peoples. We don't believe in binaries: Congress President @RahulGandhi during an address to the Hindustan Times Leadership Summit in Delhi.,12391,88,[],False,BoihccCgxOO
2018-10-04 12:05:37,1882694850751738623,A quick look at the timeline of events leading up to the Rafale Scam shows why India needs to #ProbeRafaleScam,6666,83,['proberafalescam'],False,BogrP3ng7L_
2018-10-03 11:34:49,1881954304110356287,"कांग्रेस पार्टी किसानों की, महिलाओं की, कमजोरों की, छोटे दुकानदारों की, युवाओं की पार्टी है : कांग्रेस अध्यक्ष @RahulGandhi",9742,174,[],True,BoeC3f0A-c_
2018-10-02 14:21:18,1881313589027782458,"Congress President @RahulGandhi and other Congress leaders at the Gandhi Sankalp Padyatra in Wardha. 
#Gandhi150⁠ ⁠",15378,150,['gandhi150'],False,BobxL3ZHb86
2018-10-02 12:05:58,1881245475552507269,"Congress President @RahulGandhi and UPA Chairperson Smt. Sonia Gandhi interact with an enthusiastic crowd in Wardha.
#Gandhi150⁠ ⁠",12329,50,['gandhi150'],False,BobhsrxnjWF
2018-10-02 11:32:49,1881228791945030787,"Congress President @RahulGandhi visits Gandhi Sevagram Ashram in Wardha, along with former Prime Minister Dr. Manmohan Singh, UPA Chairperson Smt. Sonia Gandhi &  other Congress leaders. 
#Gandhi150⁠",12793,52,['gandhi150'],False,Bobd559HuyD
2018-10-02 03:06:12,1880973805012921260,Congress President @RahulGandhi & former Congress President Smt. Sonia Gandhi pay their respects at Rajghat on the occasion of #GandhiJayanti⁠ ⁠#GandhiAt150⁠,13988,58,"['gandhijayanti', 'gandhiat150']",False,Boaj7W3nCus
2018-10-01 08:22:35,1880408267719266598,"“When voted to power, we will ensure harmony and a secure future for our children.”
Congress President, @RahulGandhi",10905,87,[],False,BoYjVtOHVEm
